Bauteiltyp,GUID,Geschoss,IfcType,Material,Name,Zugehörigkeit,id
Möbel,3Y3H7Pp0j4rO2fUMQII1vt,R-020,IfcFurniture,,Vitrinenschrank,EG--,18435
Möbel,02tvuGWff87vsIvufrUtoh,R-020,IfcFurniture,,Sideboard,EG--,19998
Möbel,0W_nzFoZfAMBTycavlLXoQ,R-020,IfcFurniture,,Sideboard,EG--,20040
Möbel,2kthAdCO152vl8zDdQtdjM,R-020,IfcFurniture,,Sideboard,EG--,21595
Möbel,2uIYuch_v6tOBkmslWMGj7,R-020,IfcFurniture,,Sideboard,EG--,21633
Möbel,2g3qPlshbAbwOTO_FZCGWB,R-020,IfcFurniture,,Büroarbeitsplatz,EG--,32460
Möbel,2Jklv73LT2EuV_LvjbndSX,R-020,IfcFurniture,,Büroarbeitsplatz,EG--,43267
Möbel,0COD_HCmDAXwOvFYEeG17$,R-020,IfcFurniture,,Büroarbeitsplatz,EG--,54070
Möbel,2CaDbB1CnF7fdXNtMM18yE,R-020,IfcFurniture,,Büroarbeitsplatz,EG--,64873
Möbel,26u$Zj4vPC0gA_mSoxhg9g,R-020,IfcFurniture,,Flipchart,EG--,65882
Möbel,2sD305Ifv7POTbw70a1tjv,R-010,IfcFurniture,,Regal ,EG--,168949
Möbel,121cDjwyH4wQ$9jkCrrXKz,R-012,IfcFurniture,,Büroarbeitsplatz,EG--,197328
Möbel,1We$58QW96rggr3NyYcWZf,R-012,IfcFurniture,,Büroarbeitsplatz,EG--,208131
Möbel,0yVVdKbu94phhvf_ydDmVx,R-012,IfcFurniture,,Büroarbeitsplatz,EG--,218934
Möbel,0FFx0RUab7VBkg_T3cjWGA,R-012,IfcFurniture,,Flipchart,EG--,219939
Möbel,0a4qA_McfDveekJwVtJV_O,R-012,IfcFurniture,,Vitrinenschrank,EG--,221574
Möbel,0gwqi5bsj8w9hitNzQB28m,R-012,IfcFurniture,,Sideboard,EG--,221612
Möbel,1bMyd00gL0qxNnwpxuItIS,R-012,IfcFurniture,,Sideboard,EG--,221650
Möbel,0e5xRos1zEDeKSCKeHCBgs,R-012,IfcFurniture,,Sideboard,EG--,221688
Möbel,324pZ9195FYPLzzWZvUS1p,R-012,IfcFurniture,,Sideboard,EG--,221726
Möbel,1Sr1elhgr2oRoAAiC42Fbe,R-012,IfcFurniture,,Büroarbeitsplatz,EG--,232529
Möbel,1wPGueYif8lBJ3UrozIROw,R-013,IfcFurniture,,Unterschrank,EG--,233465
Möbel,1Xgz16cvf5lAq1jsxxU0u_,R-013,IfcFurniture,,Unterschrank,EG--,233507
Möbel,0AZzQ8j6v0SfrbpPUBKNQf,R-013,IfcFurniture,,Unterschrank,EG--,235141
Möbel,3qBREFQ4X8y86WRvMv0gQX,R-013,IfcFurniture,,Unterschrank,EG--,235437
Möbel,0YoTvNgUb1d8giXKAodL8q,R-013,IfcFurniture,,Büroplanung ,EG--,240434
Möbel,2cD7z9yC52ORgTWzNFTvGJ,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,251203
Möbel,37DbD6D6L1UuFIgYRYHroi,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,261968
Möbel,1gA$gSwP56VQ23SUQhE96Z,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,272733
Möbel,3c2mKiwMz33fv4oj6irJ4I,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,283498
Möbel,0JGWTDOwXCLx1tUm4ZPVLA,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,294263
Möbel,25EjsHMp55Cw0cH9aar38B,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,305028
Möbel,1fKERq_r58cxabJ_0o68lI,R-013,IfcFurniture,,Unterschrank,EG--,305066
Möbel,3YlNLEERvAvQUxqEzZ0Tji,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,315831
Möbel,13D6CGGx95AuzwB5tgfeiC,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,326596
Möbel,3JLZwRIPr8ehMoMD_bJFtS,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,337361
Möbel,3txwCnzmL02vtc_eNjVoly,R-013,IfcFurniture,,Büroplanung ,EG--,337896
Möbel,2nKb8q39TD19QbR7SdW47G,R-013,IfcFurniture,,Büroarbeitsplatz,EG--,348665
Möbel,1w6EzOe0X8P9iehyN_UsXW,R-014,IfcFurniture,,Sideboard,EG--,348824
Möbel,1g1_Z86U5DIP7_Mma2eGgF,R-014,IfcFurniture,,Büroarbeitsplatz,EG--,359627
Möbel,28AoUdgj981wu6VaDX7skX,R-014,IfcFurniture,,Büroarbeitsplatz,EG--,370430
Möbel,2xRA3TcjDAZ8Z1PAhA$zH3,R-014,IfcFurniture,,Büroarbeitsplatz,EG--,381233
Möbel,2JYeNQ3Dj8e8g8fwtIQ6zu,R-014,IfcFurniture,,Büroarbeitsplatz,EG--,392036
Möbel,3ASxfVCRn95fxTFOj5eOpK,R-014,IfcFurniture,,Flipchart,EG--,392074
Möbel,1cxTtRK$P6hxL_bYYHSAY1,R-014,IfcFurniture,,Vitrinenschrank,EG--,392112
Möbel,3uIjOuUCr4$eGWoHXDZSlU,R-014,IfcFurniture,,Sideboard,EG--,392150
Möbel,1vX5Mnfm1EgBuRWmaT9yzH,R-014,IfcFurniture,,Sideboard,EG--,392188
Möbel,2MogKv_8T8xO248PFimxrF,R-014,IfcFurniture,,Sideboard,EG--,392226
Möbel,2WAiMFQDD2RALU32bYHP_F,R-015,IfcFurniture,,Büroarbeitsplatz,EG--,403150
Möbel,2z3ricyjD8p8ojoQ7LDEDD,R-015,IfcFurniture,,Büroarbeitsplatz,EG--,413953
Möbel,2sPZhQhvP0HAlEHg8cWVt5,R-015,IfcFurniture,,Büroarbeitsplatz,EG--,424756
Möbel,3hie1y_yzAWfJE3OxswOnw,R-015,IfcFurniture,,Büroarbeitsplatz,EG--,435559
Möbel,2dG0eCEKzFkvej$vlR5WiY,R-015,IfcFurniture,,Flipchart,EG--,435597
Möbel,1L7SjDeer3LupAAHGlK$Us,R-015,IfcFurniture,,Vitrinenschrank,EG--,435635
Möbel,0CCK$FbrDEVBEXR1ghGhlL,R-015,IfcFurniture,,Sideboard,EG--,435673
Möbel,0BMFXTnJL9SvnLWrgTVsgT,R-015,IfcFurniture,,Sideboard,EG--,435711
Möbel,0YMWDSMjP68fv7e2SnI4YR,R-015,IfcFurniture,,Sideboard,EG--,435749
Möbel,0lljPvCpvCE8MXTDVXPKSJ,R-015,IfcFurniture,,Sideboard,EG--,435787
Möbel,0mTog7Zf5FcOr8eciV5g_7,R-016,IfcFurniture,,Stuhl-006,EG--,442288
Möbel,1haSZPO5554OsuyVxxN5Fy,R-016,IfcFurniture,,Stuhl-007,EG--,442330
Möbel,2y57Ksjcn7DxJWm88HG1Rw,R-016,IfcFurniture,,Schreibtisch ,EG--,442502
Möbel,08_TNQ8cTDcOyVUoESP$dK,R-016,IfcFurniture,,Stuhl-007,EG--,442544
Möbel,3KguqHJ91188FSD23KwcMa,R-016,IfcFurniture,,Untersuchungsliege ,EG--,449122
Möbel,0nMdZPd$X3f9LP1VakwM99,R-016,IfcFurniture,,Regal ,EG--,451708
Möbel,1qYQgB$ff0NRAhwJev_E3k,R-016,IfcFurniture,,Regal ,EG--,451746
Möbel,3EjOAfTiz1_fPETSpcmy_M,R-017,IfcFurniture,,Sideboard,EG--,451905
Möbel,1HX9nhker7Xgn0vTXbiVmP,R-017,IfcFurniture,,Vitrinenschrank,EG--,451943
Möbel,1e4w7rJ3D3Ye2MMT9idIh6,R-017,IfcFurniture,,Sideboard,EG--,451981
Möbel,1lgEj$$V96Cg_9btJ8Rih5,R-017,IfcFurniture,,Sideboard,EG--,452019
Möbel,3OqykYCQn0u8HV17fvAfYk,R-017,IfcFurniture,,Sideboard,EG--,452057
