Bauteiltyp,GUID,Geschoss,IfcType,Material,Name,Zugehörigkeit,id
Licht,1LjK0nDiz8oOynrLBdEWr4,R-026,IfcLightFixture,,Schreibtischlampe-001,OG--,1077051
Licht,2tD5JQ0dH5AQyGSFsQh7v0,R-026,IfcLightFixture,,Schreibtischlampe-004,OG--,1077093
Licht,2xPf5J$kLCT9d2wA3nga2X,R-026,IfcLightFixture,,Schreibtischlampe-012,OG--,1077131
Licht,3UrXZmX0n64uWHAPgSiT9Q,R-026,IfcLightFixture,,Schreibtischlampe-005,OG--,1077169
Licht,1zYqgB7RP1fxyQYDdGe62S,R-026,IfcLightFixture,,Schreibtischlampe-002,OG--,1077207
Licht,3JUR28c9H8oea_PKTXFvHl,R-026,IfcLightFixture,,Schreibtischlampe-006,OG--,1077245
Licht,3LAVi37XvEjwhUXIy4bXXB,R-026,IfcLightFixture,,Schreibtischlampe-003,OG--,1077283
Licht,3a33AJiVbDTRQds58eWJqG,R-026,IfcLightFixture,,Schreibtischlampe-007,OG--,1077321
Licht,0$ynylbrv8Lgx98zBqVCwD,R-026,IfcLightFixture,,Schreibtischlampe-008,OG--,1077359
Licht,1h19OzZw1EtBA$fSOo7B8h,R-026,IfcLightFixture,,Schreibtischlampe-009,OG--,1077397
Licht,357ZDOzOz8SBC1xyYRXNlf,R-026,IfcLightFixture,,Schreibtischlampe-010,OG--,1077435
Licht,2ow7Mmvq57DvbekYp8Be8v,R-026,IfcLightFixture,,Schreibtischlampe-011,OG--,1077473
