Area,Bauteiltyp,Depth,GUID,Geschoss,Height,IfcType,Name,Volume,Width,id
7.7,Öffnung,0.41,37d9j$X30Cruu_2B4pt45l,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,972
7.7,Öffnung,0.41,0yD_0pik7$ZGHe5wGTvsv4,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,1031
7.7,Öffnung,0.41,0p07_yV18Q0daIJQC4ST5h,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,1090
2.1311,Öffnung,0.18,3J1LCCfAF_mF0mEVS0WhGl,,2.11,IfcOpeningElement,Tür-004,0.111556828,1.01,4233
7.7,Öffnung,0.41,083k_Le3PaglwXUKVt940S,,2.2,IfcOpeningElement,Fenster-003,0.2332365,3.5,5650
7.7,Öffnung,0.41,1MpLJraR1G2r0Xv2NH9xCk,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,5709
7.7,Öffnung,0.41,3ztJPqgOBnPylSD1KwPmcF,,2.2,IfcOpeningElement,Fenster-005,0.2332365,3.5,5768
4.4,Öffnung,0.41,2y2yB1iIGwpHQGo4FYa2YQ,,2.2,IfcOpeningElement,Fenster-006,0.17091,2.0,8036
4.4,Öffnung,0.41,0dtuBSIT3NFtLRFHuB0C48,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,8095
4.4,Öffnung,0.41,01oOD5nbtqjetfr1szzt7l,,2.2,IfcOpeningElement,Fenster-006,0.17091,2.0,8154
7.7,Öffnung,0.41,2PI6BYSd8XmhsRYk_2YpJM,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,11555
7.7,Öffnung,0.41,1VpCEifDvIWpckohLH5noK,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,11614
7.7,Öffnung,0.41,2XJDimTq0Sq6HVk1gByALd,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,11673
4.4,Öffnung,0.41,2tqyjSETt7qVJ12LYcdrvM,,2.2,IfcOpeningElement,Fenster-006,0.17091,2.0,12734
4.4,Öffnung,0.41,3Z6s2t4mNVwlUzhtL$I8vA,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,12793
4.4,Öffnung,0.41,0GU_y4CjN2d0XHMU5RMkQC,,2.2,IfcOpeningElement,Fenster-008,0.17091,2.0,12852
7.7,Öffnung,0.41,3zbIO9v3YFVX1dBcxmHO30,,2.2,IfcOpeningElement,Fenster-003,0.2332365,3.5,13873
7.7,Öffnung,0.41,39dYp9cQrwDSaZ9Nlhuw3b,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,13932
7.7,Öffnung,0.41,1NEfQ56$ABpLZDamwwJhHA,,2.2,IfcOpeningElement,Fenster-005,0.2332365,3.5,13991
