Area,Bauteiltyp,Betongüte,Breite/Höhe,Depth,Einheit,Expositionsklasse,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetFootprintArea,NetSideArea,NetVolume,NumberOfRiser,NumberOfTreads,Perimeter,Raumnummer,RequiredHeadroom,RiserHeight,Rohbaubreite,Rohbauhöhe,Sichtbetonklasse,Stahlbeton,Status,SurfaceSpreadOfFlame,Volume,WU,WalkingLineOffset,Width,Zugehörigkeit,id,Öffnungsbreite,Öffnungshöhe,Öffnungsrichtung,Überwachungsklasse
,Wand,C30/37,,,,XF3,,,05rUuJDRn9m9ZDHFFuduY3,EG,,6.09229936476,58.86,24.3692,4.0,IfcWall,True,14.705,True,Stahlbeton,Wand-001,,6.09229936476,35.76,14.8982,,,,,,,,,SB2,,['EXISTING'],,,,,0.41,,1142,,,,ÜK1
7.7,Öffnung,,,0.41,,,,,37d9j$X30Cruu_2B4pt45l,,,,,,2.2,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,972,,,,
7.7,Öffnung,,,0.41,,,,,0yD_0pik7$ZGHe5wGTvsv4,,,,,,2.2,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,1031,,,,
7.7,Öffnung,,,0.41,,,,,0p07_yV18Q0daIJQC4ST5h,,,,,,2.2,IfcOpeningElement,,,,,Fenster-002,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,1090,,,,
7.7,Fenster,,,,,,0.EG--Fenster-001,3 Flügel,3s_zmCBwz1KwauAhYsD$WC,EG,,,,,2.2,IfcWindow,True,,,,Fenster-001,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,2435,,,,
7.7,Fenster,,,,,,0.EG--Fenster-001,3 Flügel,16e0lg$Sz14fRAwrUSoP1O,EG,,,,,2.2,IfcWindow,True,,,,Fenster-001,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,3732,,,,
7.7,Fenster,,,,,,0.EG--Fenster-002,3 Flügel,0PTt1B30TBpPgvbEADxnAB,EG,,,,,2.2,IfcWindow,True,,,,Fenster-002,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,3813,,,,
,Wand,,,,,,,,2$oOvCjxj6rweiaCm38UWH,EG,,1.83110067896,44.18,8.0516,4.0,IfcWall,True,11.385,True,,Wand-002,,1.83110067896,42.0489,7.668002,,,,,,,,,,,['EXISTING'],,,,,0.18,,4268,,,,
2.1311,Öffnung,,,0.18,,,,,3J1LCCfAF_mF0mEVS0WhGl,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,4233,,,,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,2dpfLLFRD4MOuzN206v9LW,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,4908,,,R,
,Wand,C30/37,,,,XF3,,,3oPbUP4rTDx9CcqpnVvBG0,EG,,6.09439935493,58.88,24.3776,4.0,IfcWall,True,14.795,True,Stahlbeton,Wand-003,,6.09439935493,35.78,14.9066,,,,,,,,,SB2,,['EXISTING'],,,,,0.41,,5811,,,,ÜK1
7.7,Öffnung,,,0.41,,,,,083k_Le3PaglwXUKVt940S,,,,,,2.2,IfcOpeningElement,,,,,Fenster-003,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,5650,,,,
7.7,Öffnung,,,0.41,,,,,1MpLJraR1G2r0Xv2NH9xCk,,,,,,2.2,IfcOpeningElement,,,,,Fenster-004,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,5709,,,,
7.7,Öffnung,,,0.41,,,,,3ztJPqgOBnPylSD1KwPmcF,,,,,,2.2,IfcOpeningElement,,,,,Fenster-005,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,5768,,,,
7.7,Fenster,,,,,,0.EG--Fenster-003,3 Flügel,3j3fY6t8D14gCYpS9zI$qs,EG,,,,,2.2,IfcWindow,True,,,,Fenster-003,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,7102,,,,
7.7,Fenster,,,,,,0.EG--Fenster-004,3 Flügel,3DGShZcYL2nhPRPEf53ITa,EG,,,,,2.2,IfcWindow,True,,,,Fenster-004,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,7183,,,,
7.7,Fenster,,,,,,0.EG--Fenster-005,3 Flügel,28ye_Y7wLDCvvANMyaxKhU,EG,,,,,2.2,IfcWindow,True,,,,Fenster-005,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,7264,,,,
,Wand,C30/37,,,,XF3,,,2WXKDfXkL138OweJ9sKHxU,EG,,4.688599161,45.32,18.7544,4.0,IfcWall,True,11.59,True,Stahlbeton,Wand-004,,4.688599161,32.12,13.3424,,,,,,,,,SB2,,['EXISTING'],,,,,0.41,,8197,,,,ÜK1
4.4,Öffnung,,,0.41,,,,,2y2yB1iIGwpHQGo4FYa2YQ,,,,,,2.2,IfcOpeningElement,,,,,Fenster-006,,,,,,,,,,,,,,,,,0.17091,,,2.0,,8036,,,,
4.4,Öffnung,,,0.41,,,,,0dtuBSIT3NFtLRFHuB0C48,,,,,,2.2,IfcOpeningElement,,,,,Fenster-007,,,,,,,,,,,,,,,,,0.17091,,,2.0,,8095,,,,
4.4,Öffnung,,,0.41,,,,,01oOD5nbtqjetfr1szzt7l,,,,,,2.2,IfcOpeningElement,,,,,Fenster-006,,,,,,,,,,,,,,,,,0.17091,,,2.0,,8154,,,,
4.4,Fenster,,,,,,0.EG--Fenster-006,3 Flügel,3JtHoLCTzC4vMRAoVmL_Sm,EG,,,,,2.2,IfcWindow,True,,,,Fenster-006,,,,,,,8.4,,,,2.0,2.2,,,['EXISTING'],,,,,2.0,EG--,9472,,,,
4.4,Fenster,,,,,,0.EG--Fenster-007,3 Flügel,1Q2SdjW_rBd8L2IpDdb9vq,EG,,,,,2.2,IfcWindow,True,,,,Fenster-007,,,,,,,8.4,,,,2.0,2.2,,,['EXISTING'],,,,,2.0,EG--,10763,,,,
4.4,Fenster,,,,,,0.EG--Fenster-006,3 Flügel,2emtezWTXFdxidPQwjgHnE,EG,,,,,2.2,IfcWindow,True,,,,Fenster-006,,,,,,,8.4,,,,2.0,2.2,,,['EXISTING'],,,,,2.0,EG--,10844,,,,
,Wand,C30/37,,,,XF3,,,2QBctAu$r6gwVQJr1jqzKr,EG,,6.09229936476,58.86,24.3692,4.0,IfcWall,True,14.705,True,Stahlbeton,Wand-001,,6.09229936476,35.76,14.8982,,,,,,,,,SB2,,['EXISTING'],,,,,0.41,,11716,,,,ÜK1
7.7,Öffnung,,,0.41,,,,,2PI6BYSd8XmhsRYk_2YpJM,,,,,,2.2,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,11555,,,,
7.7,Öffnung,,,0.41,,,,,1VpCEifDvIWpckohLH5noK,,,,,,2.2,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,11614,,,,
7.7,Öffnung,,,0.41,,,,,2XJDimTq0Sq6HVk1gByALd,,,,,,2.2,IfcOpeningElement,,,,,Fenster-002,,,,,,,,,,,,,,,,,0.2332365,,,3.5,,11673,,,,
7.7,Fenster,,,,,,0.EG--Fenster-001,3 Flügel,2ZK8OHE2f1IvRnW9EpeJGc,EG,,,,,2.2,IfcWindow,True,,,,Fenster-001,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,11797,,,,
7.7,Fenster,,,,,,0.EG--Fenster-001,3 Flügel,356Ik9iG5DaxEYdR$Vo21g,EG,,,,,2.2,IfcWindow,True,,,,Fenster-001,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,11878,,,,
7.7,Fenster,,,,,,0.EG--Fenster-002,3 Flügel,2Ar49AJnbAdAu4IXeKu_6e,EG,,,,,2.2,IfcWindow,True,,,,Fenster-002,,,,,,,11.4,,,,3.5,2.2,,,['EXISTING'],,,,,3.5,EG--,11959,,,,
,Wand,C30/37,,,,XF3,,,28spleGsPD0Bq8o0D3lVQ_,EG,,4.74870018549,45.54,18.9948,4.0,IfcWall,True,11.59,True,Stahlbeton,Wand-002,,4.74870018549,32.34,13.5828,,,,,,,,,SB2,,['EXISTING'],,,,,0.41,,12895,,,,ÜK1
4.4,Öffnung,,,0.41,,,,,2tqyjSETt7qVJ12LYcdrvM,,,,,,2.2,IfcOpeningElement,,,,,Fenster-006,,,,,,,,,,,,,,,,,0.17091,,,2.0,,12734,,,,
4.4,Öffnung,,,0.41,,,,,3Z6s2t4mNVwlUzhtL$I8vA,,,,,,2.2,IfcOpeningElement,,,,,Fenster-007,,,,,,,,,,,,,,,,,0.17091,,,2.0,,12793,,,,
4.4,Öffnung,,,0.41,,,,,0GU_y4CjN2d0XHMU5RMkQC,,,,,,2.2,IfcOpeningElement,,,,,Fenster-008,,,,,,,,,,,,,,,,,0.17091,,,2.0,,12852,,,,
4.4,Fenster,,,,,,0.EG--Fenster-006,3 Flügel,0RkwJZL3v3QP5WoG0CHOKd,EG,,,,,2.2,IfcWindow,True,,,,Fenster-006,,,,,,,8.4,,,,2.0,2.2,,,['EXISTING'],,,,,2.0,EG--,12976,,,,
