Area,Barrierefrei,Bauteiltyp,Betongüte,Brandwand,Depth,Expositionsklasse,Feuerwiderstandsklasse 4102-2,FinishCeilingHeight,FinishFloorHeight,FireRating,FloorCoveringThickness,GUID,Geschoss,GrossArea,GrossCeilingArea,GrossFloorArea,GrossFootprintArea,GrossHeight,GrossPerimeter,GrossSideArea,GrossVolume,GrossWallArea,HandicapAccessible,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetCeilingArea,NetFloorArea,NetFootprintArea,NetHeight,NetPerimeter,NetSideArea,NetVolume,NetWallArea,Perimeter,Status,Volume,Width,id
,,Projekt,,,,,,,,,,344O7vICcwH8qAEnwJDjSU,,,,,,,,,,,,,IfcProject,,,,,Projekt,,,,,,,,,,,,,,
,,Grundstück,,,,,,,,,,20FpTZCqJy2vhVJYtjuIce,,0.0,,,,,0.0,,,,,,IfcSite,,,,,Gelände,,,,,,,,,,,,,,114
,,Gebäude,,,,,,,,,,00tMo7QcxqWdIGvc4sMN2A,,,,159.410516695,,,,,,,,,IfcBuilding,,,,,Gebäude,,,,,,,,,,,,,,141
,,Geschoss,,,,,,,,,,2wD77FGiRpHvLJ$n_rSCsd,,,,0.0,,3.0,,,,,,,IfcBuildingStorey,,,,,UG,,,,,3.0,,,,,,,,,165
,,Wand,C35/45,False,,XM2,,,,,,39Pwj5r313996q4XG0Ka33,UG,,,,3.615,,,5.784,2.892,,,0.8,IfcWall,True,7.23,True,Stahlbeton,Fundament,,,,3.615,,,5.784,2.892,,,['EXISTING'],,0.5,334
,,Wand,C35/45,False,,XM2,,,,,,175F_nz6H8rwNhx2l_si7R,UG,,,,6.86439558824,,,10.9830329412,5.4915164706,,,0.8,IfcWall,True,14.2287911765,True,Stahlbeton,Fundament,,,,6.86439558824,,,10.9830329412,5.4915164706,,,['EXISTING'],,0.5,454
,,Wand,C35/45,False,,XM2,,,,,,39UKIris12CQ9TQYqlPviU,UG,,,,7.11439558824,,,11.3830329412,5.6915164706,,,0.8,IfcWall,True,14.2287911765,True,Stahlbeton,Fundament,,,,7.11439558824,,,11.3830329412,5.6915164706,,,['EXISTING'],,0.5,568
,,Wand,C35/45,False,,XM2,,,,,,0rgrSLo1j0Z9fDoUT_CyNC,UG,,,,3.365,,,5.384,2.692,,,0.8,IfcWall,True,6.73,True,Stahlbeton,Fundament,,,,3.365,,,5.384,2.692,,,['EXISTING'],,0.5,682
,,Wand,C35/45,False,,XM2,,,,,,12Vt3V80D5yww6fRqQvKT3,UG,,,,3.865,,,6.184,3.092,,,0.8,IfcWall,True,7.23,True,Stahlbeton,Fundament,,,,3.865,,,6.184,3.092,,,['EXISTING'],,0.5,796
,,Wand,C35/45,False,,XM2,,,,,,2Zz$61LnT2IvWZL8xHZS1Z,UG,,,,3.365,,,5.384,2.692,,,0.8,IfcWall,True,6.73,True,Stahlbeton,Fundament,,,,3.365,,,5.384,2.692,,,['EXISTING'],,0.5,910
,,Geschoss,,,,,,,,,,2Wk49hkHPC2hvWchm5NASJ,,,,159.410516695,,3.0,,,,,,,IfcBuildingStorey,,,,,EG,,,,,3.0,,,,,,,,,930
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,3Qy6atOv51AwT_tek7lVoT,EG,,,,5.37600877942,,,44.1863735295,16.1280263383,,,3.0,IfcWall,True,14.5462911765,True,Stahlbeton,Wand-001,,,,5.37600877942,,,28.9562735295,10.5690398383,,,['EXISTING'],,0.365,1629
2.4,,Öffnung,,,0.365,,,,,,,3GWua190iac8V64JGSlWb8,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-011,,,,,,,,,,,,0.0935572,1.2,1226
2.4,,Öffnung,,,0.365,,,,,,,2iQiy0jcc9M$B0pFfb5qMf,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-012,,,,,,,,,,,,0.0935572,1.2,1285
2.4,,Öffnung,,,0.365,,,,,,,3QekjFl4FW9_y9WXv382re,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-013,,,,,,,,,,,,0.0935572,1.2,1344
2.4,,Öffnung,,,0.365,,,,,,,3ekX6YTE6qTxYpXaqLJLlF,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-014,,,,,,,,,,,,0.0935572,1.2,1403
1.8,,Öffnung,,,0.365,,,,,,,3BYhk1tJJ9TYLvlF7CB7m0,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-018,,,,,,,,,,,,0.0672439,0.9,1462
1.8,,Öffnung,,,0.365,,,,,,,1pQRuZ$0FjBHxqetH1G_$W,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-019,,,,,,,,,,,,0.0672439,0.9,1521
2.0301,,Öffnung,,,0.365,,,,,,,229mrBUdERPuR0G0DaUJxG,,,,,,,,,,,,2.01,IfcOpeningElement,,,,,Tür-001,,,,,,,,,,,,0.0715754,1.01,1580
2.4,,Fenster,,,,,F 60,,,F 60,,16jUHz2UTFUf6s4B0H$oHl,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-011,,,,,,,,,,6.4,['EXISTING'],,1.2,2522
2.4,,Fenster,,,,,F 60,,,F 60,,1EfRytDj5ArReELIVDbbZc,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-012,,,,,,,,,,6.4,['EXISTING'],,1.2,2584
2.4,,Fenster,,,,,F 60,,,F 60,,0lIPTUVIXDlwdILgNBPBEm,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-013,,,,,,,,,,6.4,['EXISTING'],,1.2,2642
2.4,,Fenster,,,,,F 60,,,F 60,,3_I0ogiFHEFwirhiESI__v,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-014,,,,,,,,,,6.4,['EXISTING'],,1.2,3517
1.8,,Fenster,,,,,F 60,,,F 60,,2uR1Gdv8v0UeWNr7VCeaei,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-018,,,,,,,,,,5.8,['EXISTING'],,0.9,4079
1.8,,Fenster,,,,,F 60,,,F 60,,3AqcFsKY53sASwNBWbLC5T,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-019,,,,,,,,,,5.8,['EXISTING'],,0.9,4645
2.0301,True,Tür,,,,,T 60,,,T 60,,0csZBfUD95axzuieSqYiHA,EG,,,,,,,,,,True,2.01,IfcDoor,True,,,Kunststoff,Tür-001,,,,,,,,,,6.04,['EXISTING'],,1.01,5240
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,19MiasVBz4MxQA90h5hlbo,EG,,,,2.555,,,21.0,7.665,,,3.0,IfcWall,True,7.1825,True,Stahlbeton,Wand-002,,,,2.555,,,13.8,5.037,,,['EXISTING'],,0.365,5622
2.4,,Öffnung,,,0.365,,,,,,,0Zwo7Su3iwij83nGMJ0WLD,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-015,,,,,,,,,,,,0.0935572,1.2,5455
2.4,,Öffnung,,,0.365,,,,,,,1$jLVnVNSBUFOPsQYDNzaa,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-016,,,,,,,,,,,,0.0935572,1.2,5514
2.4,,Öffnung,,,0.365,,,,,,,07WFOK7NNRdPTFFZMNjgfR,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-017,,,,,,,,,,,,0.0935572,1.2,5573
2.4,,Fenster,,,,,F 60,,,F 60,,14EKv3QDr8ZxTTtQ86i$_A,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-015,,,,,,,,,,6.4,['EXISTING'],,1.2,5680
2.4,,Fenster,,,,,F 60,,,F 60,,06nLGa_I97yB0v51JlFshT,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-016,,,,,,,,,,6.4,['EXISTING'],,1.2,5738
2.4,,Fenster,,,,,F 60,,,F 60,,0wL978aJ999PEfkxnCDk7N,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-017,,,,,,,,,,6.4,['EXISTING'],,1.2,5796
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,2Q8S08G3T0Sh4TT3IGw2O$,EG,,,,5.37600877942,,,44.1863735295,16.1280263383,,,3.0,IfcWall,True,14.5462911765,True,Stahlbeton,Wand-003,,,,5.37600877942,,,29.7863735295,10.8720263383,,,['EXISTING'],,0.365,6404
2.4,,Öffnung,,,0.365,,,,,,,3GRAfc_WOfpy1Zmqof6Lq6,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-005,,,,,,,,,,,,0.0935572,1.2,6060
2.4,,Öffnung,,,0.365,,,,,,,0IyJsIIBtRzHR4p3Z1Qbrd,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-006,,,,,,,,,,,,0.0935572,1.2,6119
2.4,,Öffnung,,,0.365,,,,,,,1jynp0qBMaEKVWhmdD7quy,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-005,,,,,,,,,,,,0.0935572,1.2,6178
