Area,Bauteiltyp,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,Height,IfcType,IsExternal,Material,Name,Perimeter,Raumnummer,Rohbaubreite,Rohbauhöhe,Status,Width,Zugehörigkeit,id,Öffnungsrichtung
2.1311,Tür,0.EG--Tür-004,1 Flügel,2dpfLLFRD4MOuzN206v9LW,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,4908,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,10hQEyYLH8APlHcORjt$Ib,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,15360,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,09TfpBr7z0IRglHp0wjkO$,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,76996,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,1d0gGZMKfC7xZYbBuBLyYX,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,77077,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,1GmWBFIGfDP8RWRr8lIiX2,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,77158,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,1JPBs1$ZXD99qFBnASrHpZ,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,81427,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,0fNO6DI0nCQwLzxqS$0TXP,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,81508,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,3i4iwwigHERfQZ$_Gk1_Jq,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,81589,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,0BuVRNVI19pf_6dTAlYclx,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,83700,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,1S52Pl08j7DBi5zrXGqi_p,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,83781,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,1oNAGaXTHF$9SqDZDlkbvR,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,83862,L
2.1311,Tür,0.EG--Tür-004,1 Flügel,1FxlvwfDvBF99$36l0uJH5,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,86720,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,2xGtQI3uH4nOq5yhMNsJtr,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,86801,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,1yANx7uo9648R5OcRBbTo_,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,86882,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,1L1npSyDL0VA5oXuD_$LzT,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,95570,R
2.1311,Tür,0.EG--Tür-004,1 Flügel,0ACdeyPYf8AAjnUE$MljEe,EG,2.11,IfcDoor,True,,Tür-004,6.24,,1.01,2.01,['EXISTING'],1.01,EG--,95651,R
